Category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Deaths (Willful/Accidental)",13777,15375,15907,15071,15667,19850,21383,20514,19135,16725
"Injuries (Willful/Accidental)",26907,30597,31353,28175,30196,39526,40626,38599,36562,31646
"Mass Shooting",332,383,347,335,414,611,689,644,659,503
"Mass Murder",21,25,20,19,31,21,28,36,40,30
"Children [0-11] Killed",202,231,234,198,211,303,313,314,301,250
"Children [0-11] Injured",477,434,487,464,485,701,745,679,644,547
"Teens [12-17] Killed",626,727,823,736,795,1105,1278,1392,1407,1171
"Teens [12-17] Injured",2074,2429,2439,2142,2340,3067,3403,3821,3896,3239
"OIS - Officer Killed",40,68,49,55,69,59,68,72,53,75
"OIS - Officer Injured",275,297,286,270,295,346,370,341,369,322
"OIS - Suspect Killed",1007,1152,1232,1273,1290,1299,1326,1397,1444,1445
"Defensive Gun Use",1400,1992,2118,1881,1633,1551,1367,1286,1286,1220
"Unintentional Shooting",1995,2236,2070,1693,1906,2328,2022,1648,1611,1436
"Suicide by Firearm (CDC)",22018,22938,23854,24432,23941,24292,26328,27038,27310,Pending
